Rank,Movie Name,Release Year,Rating,Genre,Director,Stars,Votes,Gross,Length of Movie
115.,Double Indemnity,(1944),8.3,"
Crime, Drama, Film-Noir            ",Billy Wilder,"Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr","118,577","118,577",107 min
116.,The Treasure of the Sierra Madre,(1948),8.3,"
Adventure, Drama, Western            ",John Huston,"John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett","95,551","95,551",126 min
117.,Yôjinbô,(1961),8.3,"
Action, Drama, Thriller            ",Akira Kurosawa,"Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa","90,212","90,212",110 min
118.,Ladri di biciclette,(1948),8.3,"
Drama            ",Vittorio De Sica,"Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri","116,594","116,594",89 min
119.,Bacheha-Ye aseman,(1997),8.3,"
Drama, Family            ",Majid Majidi,"Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi","45,160","45,160",89 min
120.,Rang De Basanti,(2006),8.3,"
Comedy, Drama            ",Rakeysh Omprakash Mehra,"Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi","93,014","93,014",157 min
121.,Eskiya,(1996),8.3,"
Crime, Drama, Thriller            ",See full summary,"See full summary,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim","50,615","50,615",128 min
122.,The Kid,(1921),8.3,"
Comedy, Drama, Family            ",Charles Chaplin,"Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller","87,834","87,834",68 min
123.,Ikiru,(1952),8.3,"
Drama            ",Akira Kurosawa,"Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka","54,093","54,093",143 min
124.,Sherlock Jr.,(1924),8.3,"
Action, Comedy, Romance            ",Buster Keaton,"Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly","27,713","27,713",45 min
125.,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,"
Crime, Drama            ",Martin McDonagh,"Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones","239,242","239,242",115 min
126.,The Wolf of Wall Street,(2013),8.2,"
Biography, Comedy, Crime            ",Jordan Belfort,"Jordan Belfort,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey","953,276","953,276",180 min
127.,Heat,(1995),8.2,"
Crime, Drama, Thriller            ",Michael Mann,"Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight","494,591","494,591",170 min
128.,Hacksaw Ridge,(2016),8.2,"
Biography, Drama, History            ",Desmond T. Doss,"Desmond T. Doss,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer","320,280","320,280",139 min
129.,Blade Runner,(1982),8.2,"
Sci-Fi, Thriller            ",Ridley Scott,"Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos","585,990","585,990",117 min
130.,Inside Out,(I) (2015),8.2,"
Animation, Adventure, Comedy            ",Pete Docter,"Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,Mindy Kaling","483,054","483,054",95 min
